sequence_id,start_frame,end_frame,start_time,end_time,duration
96,32044,32236,534.601 sec,537.804 sec,3.203 sec
97,32236,32376,537.804 sec,540.140 sec,2.336 sec
98,32376,32576,540.140 sec,543.477 sec,3.337 sec
99,32576,32899,543.477 sec,548.866 sec,5.389 sec
100,32899,33179,548.866 sec,553.537 sec,4.671 sec
101,33179,33316,553.537 sec,555.822 sec,2.286 sec
102,33316,33371,555.822 sec,556.740 sec,0.918 sec
103,33371,34029,556.740 sec,567.718 sec,10.978 sec
104,34029,34241,567.718 sec,571.255 sec,3.537 sec
105,34241,34341,571.255 sec,572.923 sec,1.668 sec
106,34341,34979,572.923 sec,583.567 sec,10.644 sec
107,34979,35284,583.567 sec,588.655 sec,5.088 sec
108,35284,35864,588.655 sec,598.332 sec,9.676 sec
109,35864,36046,598.332 sec,601.368 sec,3.036 sec
110,36046,36592,601.368 sec,610.477 sec,9.109 sec
111,36592,36665,610.477 sec,611.695 sec,1.218 sec
112,36665,36802,611.695 sec,613.981 sec,2.286 sec
113,36802,36862,613.981 sec,614.982 sec,1.001 sec
114,36862,37417,614.982 sec,624.241 sec,9.259 sec
115,37417,37512,624.241 sec,625.826 sec,1.585 sec
116,37512,37605,625.826 sec,627.377 sec,1.552 sec
117,37605,37687,627.377 sec,628.745 sec,1.368 sec
118,37687,37735,628.745 sec,629.546 sec,0.801 sec
119,37735,37845,629.546 sec,631.381 sec,1.835 sec
120,37845,37912,631.381 sec,632.499 sec,1.118 sec
121,37912,37965,632.499 sec,633.383 sec,0.884 sec
122,37965,38015,633.383 sec,634.218 sec,0.834 sec
123,38015,38150,634.218 sec,636.470 sec,2.252 sec
124,38150,38252,636.470 sec,638.172 sec,1.702 sec
125,38252,38270,638.172 sec,638.472 sec,0.300 sec
126,38270,38312,638.472 sec,639.173 sec,0.701 sec
127,38312,38347,639.173 sec,639.756 sec,0.584 sec
128,38347,38495,639.756 sec,642.226 sec,2.469 sec
129,38495,38575,642.226 sec,643.560 sec,1.335 sec
130,38575,38617,643.560 sec,644.261 sec,0.701 sec
131,38617,38825,644.261 sec,647.731 sec,3.470 sec
132,38825,38897,647.731 sec,648.932 sec,1.201 sec
133,38897,38932,648.932 sec,649.516 sec,0.584 sec
134,38932,38965,649.516 sec,650.067 sec,0.551 sec
135,38965,39017,650.067 sec,650.934 sec,0.868 sec
136,39017,39060,650.934 sec,651.652 sec,0.717 sec
137,39060,39112,651.652 sec,652.519 sec,0.868 sec
138,39112,39145,652.519 sec,653.070 sec,0.551 sec
139,39145,39167,653.070 sec,653.437 sec,0.367 sec
140,39167,39192,653.437 sec,653.854 sec,0.417 sec
141,39192,39225,653.854 sec,654.404 sec,0.551 sec
142,39225,39322,654.404 sec,656.023 sec,1.618 sec
143,39322,39357,656.023 sec,656.607 sec,0.584 sec
144,39357,39420,656.607 sec,657.658 sec,1.051 sec
145,39420,39462,657.658 sec,658.358 sec,0.701 sec
146,39462,39552,658.358 sec,659.860 sec,1.502 sec
147,39552,39595,659.860 sec,660.577 sec,0.717 sec
148,39595,39682,660.577 sec,662.029 sec,1.451 sec
149,39682,39742,662.029 sec,663.030 sec,1.001 sec
150,39742,40037,663.030 sec,667.951 sec,4.922 sec
151,40037,40085,667.951 sec,668.752 sec,0.801 sec
152,40085,40212,668.752 sec,670.871 sec,2.119 sec
153,40212,40265,670.871 sec,671.755 sec,0.884 sec
154,40265,40297,671.755 sec,672.289 sec,0.534 sec
155,40297,40667,672.289 sec,678.462 sec,6.173 sec
156,40667,40810,678.462 sec,680.848 sec,2.386 sec
157,40810,40862,680.848 sec,681.715 sec,0.868 sec
158,40862,40982,681.715 sec,683.717 sec,2.002 sec
159,40982,41150,683.717 sec,686.520 sec,2.803 sec
160,41150,41182,686.520 sec,687.054 sec,0.534 sec
161,41182,41212,687.054 sec,687.554 sec,0.501 sec
162,41212,41425,687.554 sec,691.108 sec,3.554 sec
163,41425,41985,691.108 sec,700.450 sec,9.343 sec
164,41985,42040,700.450 sec,701.368 sec,0.918 sec
165,42040,42207,701.368 sec,704.154 sec,2.786 sec
166,42207,42277,704.154 sec,705.322 sec,1.168 sec
167,42277,42445,705.322 sec,708.125 sec,2.803 sec
168,42445,42525,708.125 sec,709.459 sec,1.335 sec
169,42525,42687,709.459 sec,712.162 sec,2.703 sec
170,42687,42795,712.162 sec,713.964 sec,1.802 sec
171,42795,42912,713.964 sec,715.916 sec,1.952 sec
