,Hist_Threshold,SigLIP_Threshold,Total_Keyshots,Runtime_Seconds,Error_Keyshots,Error_Runtime
count,8.0,8.0,8.0,8.0,8.0,8.0
mean,2.2769337567297407,2.62596687836487,2014.7915417608292,249.15467781485458,2014.5415417608292,242.40467781485458
std,5.546287879204176,5.41077667336451,1245.4276414716905,156.54915951576953,1245.6040552484226,159.54466829266798
min,0.1154700538379251,0.0577350269189625,16.0,16.0,15.0,2.0
25%,0.25625000000000003,0.7781250000000001,1613.5830835216584,197.2416993797092,1613.5830835216584,191.9916993797092
50%,0.35,0.825,2157.375,266.62,2157.375,263.62
75%,0.44375,0.8718750000000001,2545.4375,299.50921875000006,2544.6875,288.75921875000006
max,16.0,16.0,4014.0,530.17,4014.0,528.17
